season,team,confidence_current,confidence_change,history_season,wins,losses,result,season_goal_set,season_goal_achieved
2025,ATL,,,2021,,,Lotería,,
2025,ATL,,,2022,,,Primera ronda,,
2025,ATL,,,2023,,,Primera ronda,,
2025,ATL,,,2024,,,Lotería,,
2025,ATL,,,2025,,,Play-in,,
2025,BKN,,,2021,,,Lotería,,
2025,BKN,,,2022,,,Lotería,,
2025,BKN,,,2023,,,Lotería,,
2025,BKN,,,2024,,,Reconstrucción,,
2025,BKN,,,2025,,,Semifinal de conferencia,,
2025,BOS,,,2021,,,Final de conferencia,,
2025,BOS,,,2022,,,Final de conferencia,,
2025,BOS,,,2023,,,Semifinal de conferencia,,
2025,BOS,,,2024,,,Final de conferencia,,
2025,BOS,,,2025,,,Finalista,,
2025,CHA,,,2021,,,Primera ronda,,
2025,CHA,,,2022,,,Reconstrucción,,
2025,CHA,,,2023,,,Primera ronda,,
2025,CHA,,,2024,,,Primera ronda,,
2025,CHA,,,2025,,,Primera ronda,,
2025,CHI,,,2021,,,Play-in,,
2025,CHI,,,2022,,,Play-in,,
2025,CHI,,,2023,,,Lotería,,
2025,CHI,,,2024,,,Lotería,,
2025,CHI,,,2025,,,Primera ronda,,
2025,CLE,,,2021,,,Primera ronda,,
2025,CLE,,,2022,,,Primera ronda,,
2025,CLE,,,2023,,,Reconstrucción,,
2025,CLE,,,2024,,,Primera ronda,,
2025,CLE,,,2025,,,Primera ronda,,
2025,DAL,,,2021,,,Campeón,,
2025,DAL,,,2022,,,Finalista,,
2025,DAL,,,2023,,,Semifinal de conferencia,,
2025,DAL,,,2024,,,Primera ronda,,
2025,DAL,,,2025,,,Play-in,,
2025,DEN,,,2021,,,Reconstrucción,,
2025,DEN,,,2022,,,Play-in,,
2025,DEN,,,2023,,,Primera ronda,,
2025,DEN,,,2024,,,Semifinal de conferencia,,
2025,DEN,,,2025,,,Play-in,,
2025,DET,,,2021,,,Reconstrucción,,
2025,DET,,,2022,,,Lotería,,
2025,DET,,,2023,,,Play-in,,
2025,DET,,,2024,,,Play-in,,
2025,DET,,,2025,,,Lotería,,
2025,GSW,,,2021,,,Lotería,,
2025,GSW,,,2022,,,Play-in,,
2025,GSW,,,2023,,,Lotería,,
2025,GSW,,,2024,,,Primera ronda,,
2025,GSW,,,2025,,,Primera ronda,,
2025,HOU,,,2021,,,Primera ronda,,
2025,HOU,,,2022,,,Reconstrucción,,
2025,HOU,,,2023,,,Primera ronda,,
2025,HOU,,,2024,,,Play-in,,
2025,HOU,,,2025,,,Lotería,,
2025,IND,,,2021,,,Lotería,,
2025,IND,,,2022,,,Reconstrucción,,
2025,IND,,,2023,,,Reconstrucción,,
2025,IND,,,2024,,,Lotería,,
2025,IND,,,2025,,,Lotería,,
2025,LAC,,,2021,,,Reconstrucción,,
2025,LAC,,,2022,,,Primera ronda,,
2025,LAC,,,2023,,,Primera ronda,,
2025,LAC,,,2024,,,Semifinal de conferencia,,
2025,LAC,,,2025,,,Semifinal de conferencia,,
2025,LAL,,,2021,,,Semifinal de conferencia,,
2025,LAL,,,2022,,,Final de conferencia,,
2025,LAL,,,2023,,,Finalista,,
2025,LAL,,,2024,,,Lotería,,
2025,LAL,,,2025,,,Final de conferencia,,
2025,MEM,,,2021,,,Lotería,,
2025,MEM,,,2022,,,Lotería,,
2025,MEM,,,2023,,,Reconstrucción,,
2025,MEM,,,2024,,,Play-in,,
2025,MEM,,,2025,,,Reconstrucción,,
2025,MIA,,,2021,,,Reconstrucción,,
2025,MIA,,,2022,,,Primera ronda,,
2025,MIA,,,2023,,,Lotería,,
2025,MIA,,,2024,,,Reconstrucción,,
2025,MIA,,,2025,,,Reconstrucción,,
2025,MIL,,,2021,,,Finalista,,
2025,MIL,,,2022,,,Semifinal de conferencia,,
2025,MIL,,,2023,,,Semifinal de conferencia,,
2025,MIL,,,2024,,,Finalista,,
2025,MIL,,,2025,,,Final de conferencia,,
2025,MIN,,,2021,,,Primera ronda,,
2025,MIN,,,2022,,,Primera ronda,,
2025,MIN,,,2023,,,Play-in,,
2025,MIN,,,2024,,,Reconstrucción,,
2025,MIN,,,2025,,,Campeón,,
2025,NOP,,,2021,,,Primera ronda,,
2025,NOP,,,2022,,,Semifinal de conferencia,,
2025,NOP,,,2023,,,Lotería,,
2025,NOP,,,2024,,,Primera ronda,,
2025,NOP,,,2025,,,Primera ronda,,
2025,NYK,,,2021,,,Semifinal de conferencia,,
2025,NYK,,,2022,,,Campeón,,
2025,NYK,,,2023,,,Campeón,,
2025,NYK,,,2024,,,Semifinal de conferencia,,
2025,NYK,,,2025,,,Semifinal de conferencia,,
2025,OKC,,,2021,,,Play-in,,
2025,OKC,,,2022,,,Primera ronda,,
2025,OKC,,,2023,,,Semifinal de conferencia,,
2025,OKC,,,2024,,,Campeón,,
2025,OKC,,,2025,,,Semifinal de conferencia,,
2025,ORL,,,2021,,,Primera ronda,,
2025,ORL,,,2022,,,Semifinal de conferencia,,
2025,ORL,,,2023,,,Primera ronda,,
2025,ORL,,,2024,,,Primera ronda,,
2025,ORL,,,2025,,,Reconstrucción,,
2025,PHI,,,2021,,,Semifinal de conferencia,,
2025,PHI,,,2022,,,Play-in,,
2025,PHI,,,2023,,,Primera ronda,,
2025,PHI,,,2024,,,Play-in,,
2025,PHI,,,2025,,,Primera ronda,,
2025,PHX,,,2021,,,Semifinal de conferencia,,
2025,PHX,,,2022,,,Semifinal de conferencia,,
2025,PHX,,,2023,,,Final de conferencia,,
2025,PHX,,,2024,,,Final de conferencia,,
2025,PHX,,,2025,,,Lotería,,
2025,POR,,,2021,,,Primera ronda,,
2025,POR,,,2022,,,Primera ronda,,
2025,POR,,,2023,,,Primera ronda,,
2025,POR,,,2024,,,Lotería,,
2025,POR,,,2025,,,Primera ronda,,
2025,SAC,,,2021,,,Lotería,,
2025,SAC,,,2022,,,Lotería,,
2025,SAC,,,2023,,,Play-in,,
2025,SAC,,,2024,,,Reconstrucción,,
2025,SAC,,,2025,,,Lotería,,
2025,SAS,,,2021,,,Play-in,,
2025,SAS,,,2022,,,Lotería,,
2025,SAS,,,2023,,,Reconstrucción,,
2025,SAS,,,2024,,,Primera ronda,,
2025,SAS,,,2025,,,Primera ronda,,
2025,TOR,,,2021,,,Play-in,,
2025,TOR,,,2022,,,Lotería,,
2025,TOR,,,2023,,,Play-in,,
2025,TOR,,,2024,,,Primera ronda,,
2025,TOR,,,2025,,,Lotería,,
2025,UTA,,,2021,,,Final de conferencia,,
2025,UTA,,,2022,,,Reconstrucción,,
2025,UTA,,,2023,,,Lotería,,
2025,UTA,,,2024,,,Lotería,,
2025,UTA,,,2025,,,Reconstrucción,,
2025,WAS,,,2021,,,Primera ronda,,
2025,WAS,,,2022,,,Primera ronda,,
2025,WAS,,,2023,,,Final de conferencia,,
2025,WAS,,,2024,,,Semifinal de conferencia,,
2025,WAS,,,2025,,,Play-in,,
